No;Title;Year;Genre;Origin;Director;Star;IMDB link
125;Bacheha-Ye aseman;2010;Drama;Canada;Denis Villeneuve;Lubna Azabal;https://www.imdb.com/title/tt1255953
126;El laberinto del fauno;1980;Drama;USA;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0081398
127;Babam ve Oglum;1963;Thriller;USA;John Sturges;Steve McQueen;https://www.imdb.com/title/tt0057115
128;Chinatown;1997;Drama;Iran;Majid Majidi;Mohammad Amir Naji;https://www.imdb.com/title/tt0118849
129;The Third Man;2006;Drama;Mexico;Guillermo del Toro;Ivana Baquero;https://www.imdb.com/title/tt0457430
130;Bohemian Rhapsody;2005;Drama;Turkey;Çagan Irmak;Çetin Tekindor;https://www.imdb.com/title/tt0476735
131;Tonari no Totoro;1974;Drama;USA;Roman Polanski;Jack Nicholson;https://www.imdb.com/title/tt0071315
132;Hauru no ugoku shiro;1949;Thriller;UK;Carol Reed;Orson Welles;https://www.imdb.com/title/tt0041959
133;Ran;2018;Drama;USA;Bryan Singer;Rami Malek;https://www.imdb.com/title/tt1727824
134;Judgment at Nuremberg;1988;Fantasy;Japan;Hayao Miyazaki;Hitoshi Takagi;https://www.imdb.com/title/tt0096283
135;El secreto de sus ojos;2004;Adventure;Japan;Hayao Miyazaki;Chieko Baishô;https://www.imdb.com/title/tt0347149
136;The Gold Rush;1985;Drama;Japan;Akira Kurosawa;Tatsuya Nakadai;https://www.imdb.com/title/tt0089881
137;The Bridge on the River Kwai;1961;Drama;USA;Stanley Kramer;Spencer Tracy;https://www.imdb.com/title/tt0055031
138;A Beautiful Mind;2009;Thriller;Argentina;Juan José Campanella;Ricardo Darín;https://www.imdb.com/title/tt1305806
139;Lock, Stock and Two Smoking Barrels;1925;Drama;USA;Charles Chaplin;Charles Chaplin;https://www.imdb.com/title/tt0015864
140;Casino;1957;War;USA;David Lean;William Holden;https://www.imdb.com/title/tt0050212
141;Three Billboards Outside Ebbing, Missouri;2001;Drama;USA;Ron Howard;Russell Crowe;https://www.imdb.com/title/tt0268978
142;On the Waterfront;1998;Comedy;UK;Guy Ritchie;Jason Flemyng;https://www.imdb.com/title/tt0120735
143;Det sjunde inseglet;1995;Drama;France;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0112641
144;Inside Out;2017;Drama;USA;Martin McDonagh;Frances McDormand;https://www.imdb.com/title/tt5027774
145;The Elephant Man;1954;Drama;USA;Elia Kazan;Marlon Brando;https://www.imdb.com/title/tt0047296
146;Room;1957;Drama;Sweden;Ingmar Bergman;Max von Sydow;https://www.imdb.com/title/tt0050976
147;The Wolf of Wall Street;2015;Comedy;USA;Pete Docter;Amy Poehler;https://www.imdb.com/title/tt2096673
148;Mr. Smith Goes to Washington;1980;Drama;USA;David Lynch;Anthony Hopkins;https://www.imdb.com/title/tt0080678
149;V for Vendetta;2015;Drama;Canada;Lenny Abrahamson;Brie Larson;https://www.imdb.com/title/tt3170832
150;Warrior;2013;Drama;USA;Martin Scorsese;Leonardo DiCaprio;https://www.imdb.com/title/tt0993846
151;Blade Runner;1939;Drama;USA;Frank Capra;James Stewart;https://www.imdb.com/title/tt0031679
152;Dial M for Murder;2005;Drama;Germany;James McTeigue;Hugo Weaving;https://www.imdb.com/title/tt0434409
153;Smultronstället;2011;Drama;USA;Gavin O'Connor;Andrew Koji;https://www.imdb.com/title/tt1291584
154;The General;1982;Thriller;Hong Kong;Ridley Scott;Harrison Ford;https://www.imdb.com/title/tt0083658
155;No Country for Old Men;1954;Thriller;USA;Alfred Hitchcock;Ray Milland;https://www.imdb.com/title/tt0046912
156;Trainspotting;1957;Romance;Sweden;Ingmar Bergman;Victor Sjöström;https://www.imdb.com/title/tt0050986
157;There Will Be Blood;1926;Comedy;USA;Clyde Bruckman;Buster Keaton;https://www.imdb.com/title/tt0017925
158;The Sixth Sense;2007;Drama;USA;Ethan Coen;Tommy Lee Jones;https://www.imdb.com/title/tt0477348
159;Gone with the Wind;1996;Drama;UK;Danny Boyle;Ewan McGregor;https://www.imdb.com/title/tt0117951
160;The Thing;2007;Drama;USA;Paul Thomas Anderson;Daniel Day-Lewis;https://www.imdb.com/title/tt0469494
161;Fargo;1999;Drama;USA;M. Night Shyamalan;Bruce Willis;https://www.imdb.com/title/tt0167404
162;Gran Torino;1939;War;USA;Victor Fleming;Clark Gable;https://www.imdb.com/title/tt0031381
163;Roma ;1982;Horror;USA;John Carpenter;Kurt Russell;https://www.imdb.com/title/tt0084787
164;The Deer Hunter;1996;Drama;USA;Joel Coen;William H. Macy;https://www.imdb.com/title/tt0116282
165;Finding Nemo;2008;Drama;USA;Clint Eastwood;Clint Eastwood;https://www.imdb.com/title/tt1205489
166;Idi i smotri;2018;Drama;Mexico;Alfonso Cuarón;Yalitza Aparicio;https://www.imdb.com/title/tt6155172
167;The Big Lebowski;1978;Drama;USA;Michael Cimino;Robert De Niro;https://www.imdb.com/title/tt0077416
168;Shutter Island;2003;Adventure;USA;Andrew Stanton;Albert Brooks;https://www.imdb.com/title/tt0266543
169;Sherlock Jr.;1985;Drama;Soviet Union;Elem Klimov;Aleksey Kravchenko;https://www.imdb.com/title/tt0091251
170;Kill Bill: Vol. 1;1998;Comedy;USA;Joel Coen;Jeff Bridges;https://www.imdb.com/title/tt0118715
171;Cool Hand Luke;2010;Thriller;USA;Martin Scorsese;Leonardo DiCaprio;https://www.imdb.com/title/tt1130884
172;Rebecca;1924;Romance;USA;Buster Keaton;Buster Keaton;https://www.imdb.com/title/tt0015324
173;Tôkyô monogatari;2003;Action;USA;Quentin Tarantino;Uma Thurman;https://www.imdb.com/title/tt0266697
174;Mary and Max;1967;Drama;USA;Stuart Rosenberg;Paul Newman;https://www.imdb.com/title/tt0061512
175;Hacksaw Ridge;1940;Thriller;USA;Alfred Hitchcock;Laurence Olivier;https://www.imdb.com/title/tt0032976
176;Gone Girl;1953;Drama;Japan;Yasujirô Ozu;Chishû Ryû;https://www.imdb.com/title/tt0046438
177;How to Train Your Dragon;2009;Drama;Australia;Adam Elliot;Toni Collette;https://www.imdb.com/title/tt0978762
178;Sunrise: A Song of Two Humans;2016;Drama;USA;Mel Gibson;Andrew Garfield;https://www.imdb.com/title/tt2119532
179;Relatos salvajes;2014;Thriller;USA;David Fincher;Ben Affleck;https://www.imdb.com/title/tt2267998
180;Jurassic Park;2010;Comedy;USA;Dean DeBlois;Jay Baruchel;https://www.imdb.com/title/tt0892769
181;Into the Wild;1927;Romance;USA;F.W. Murnau;George O'Brien;https://www.imdb.com/title/tt0018455
182;Life of Brian;2014;Drama;Argentina;Damián Szifron;Darío Grandinetti;https://www.imdb.com/title/tt3011894
183;In the Name of the Father;1993;Adventure;USA;Steven Spielberg;Sam Neill;https://www.imdb.com/title/tt0107290
184;The Truman Show;2007;Drama;USA;Sean Penn;Emile Hirsch;https://www.imdb.com/title/tt0758758
185;The Grand Budapest Hotel;1979;Comedy;UK;Terry Jones;Graham Chapman;https://www.imdb.com/title/tt0079470
186;Platoon;1993;Drama;UK;Jim Sheridan;Daniel Day-Lewis;https://www.imdb.com/title/tt0107207
187;Stand by Me;1998;Drama;USA;Peter Weir;Jim Carrey;https://www.imdb.com/title/tt0120382
188;It Happened One Night;2014;Drama;USA;Wes Anderson;Ralph Fiennes;https://www.imdb.com/title/tt2278388
189;Eskiya ;1986;Drama;USA;Oliver Stone;Charlie Sheen;https://www.imdb.com/title/tt0091763
190;Network;1986;Drama;USA;Rob Reiner;Wil Wheaton;https://www.imdb.com/title/tt0092005
191;Stalker;1934;Comedy;USA;Frank Capra;Clark Gable;https://www.imdb.com/title/tt0025316
192;Persona;1996;Drama;Turkey;Yavuz Turgul;Þener Þen;https://www.imdb.com/title/tt0116231
193;Salinui chueok;1976;Drama;USA;Sidney Lumet;Faye Dunaway;https://www.imdb.com/title/tt0074958
194;Ben-Hur;1979;Drama;Soviet Union;Andrei Tarkovsky;Alisa Freyndlikh;https://www.imdb.com/title/tt0079944
195;Hotel Rwanda;1966;Drama;Sweden;Ingmar Bergman;Bibi Andersson;https://www.imdb.com/title/tt0060827
196;12 Years a Slave;2003;Thriller;South Korea;Joon-ho Bong;Song Kang-ho;https://www.imdb.com/title/tt0353969
197;Million Dollar Baby;1959;History;USA;William Wyler;Charlton Heston;https://www.imdb.com/title/tt0052618
198;La passion de Jeanne d'Arc;2004;History;South Africa;Terry George;Don Cheadle;https://www.imdb.com/title/tt0395169
199;Rush;2013;History;USA;Steve McQueen;Chiwetel Ejiofor;https://www.imdb.com/title/tt2024544
200;Andrey Rublev;2004;Drama;USA;Clint Eastwood;Hilary Swank;https://www.imdb.com/title/tt0405159
201;Le salaire de la peur;1928;History;France;Carl Theodor Dreyer;Maria Falconett;https://www.imdb.com/title/tt0019254
202;Before Sunrise;2013;Drama;Germany;Ron Howard;Daniel Brühl;https://www.imdb.com/title/tt1979320
203;Mad Max: Fury Road;1966;History;Soviet Union;Andrei Tarkovsky;Anatoliy Solonitsyn;https://www.imdb.com/title/tt0060107
204;Les quatre cents coups;1953;Drama;Italy;Henri-Georges Clouzot;Yves Montand;https://www.imdb.com/title/tt0046268
205;Prisoners;1995;Romance;Switzerland;Richard Linklater;Ethan Hawke;https://www.imdb.com/title/tt0112471
206;Hachi: A Dog's Tale;2015;Adventure;USA;George Miller;Tom Hardy;https://www.imdb.com/title/tt1392190
207;Spotlight;1959;Drama;France;François Truffaut;Jean-Pierre Léaud;https://www.imdb.com/title/tt0053198
208;Logan;2013;Drama;USA;Denis Villeneuve;Hugh Jackman;https://www.imdb.com/title/tt1392214
209;Rang De Basanti;2009;Drama;USA;Lasse Hallström;Richard Gere;https://www.imdb.com/title/tt1028532
210;Amores perros;2015;Drama;USA;Tom McCarthy;Mark Ruffalo;https://www.imdb.com/title/tt1895587
211;The Princess Bride;2017;Drama;USA;James Mangold;Hugh Jackman;https://www.imdb.com/title/tt3315342
212;Catch Me If You Can;2006;Drama;India;Rakeysh Omprakash Mehra;Aamir Khan;https://www.imdb.com/title/tt0405508
213;Kaze no tani no Naushika;2000;Drama;Mexico;Alejandro G. Iñárritu;Emilio Echevarría;https://www.imdb.com/title/tt0245712
214;Harry Potter and the Deathly Hallows: Part 2;1987;Romance;USA;Rob Reiner;Cary Elwes;https://www.imdb.com/title/tt0093779
215;Butch Cassidy and the Sundance Kid;2002;Drama;Canada;Steven Spielberg;Leonardo DiCaprio;https://www.imdb.com/title/tt0264464
216;Rocky;1984;Adventure;Japan;Hayao Miyazaki;Sumi Shimamoto;https://www.imdb.com/title/tt0087544
217;Barry Lyndon;2011;Drama;USA;David Yates;Daniel Radcliffe;https://www.imdb.com/title/tt1201607
218;Monsters, Inc.;1969;Western;USA;George Roy Hill;Paul Newma;https://www.imdb.com/title/tt0064115
219;The Grapes of Wrath;1976;Drama;USA;John G. Avildsen;Sylvester Stallone;https://www.imdb.com/title/tt0075148
220;The Maltese Falcon;1975;War;USA;Stanley Kubrick;Ryan O'Neal;https://www.imdb.com/title/tt0072684
221;Dead Poets Society;2001;Comedy;USA;Pete Docter;Billy Crystal;https://www.imdb.com/title/tt0198781
222;Donnie Darko;1940;Drama;USA;John Ford;Henry Fonda;https://www.imdb.com/title/tt0032551
223;The Terminator;1941;Mystery;USA;John Huston;Humphrey Bogart;https://www.imdb.com/title/tt0033870
224;Gandhi;1989;Drama;USA;Peter Weir;Robin Williams;https://www.imdb.com/title/tt0097165
225;Les diaboliques;2001;Drama;USA;Richard Kelly;Jake Gyllenhaal;https://www.imdb.com/title/tt0246578
226;La haine;1984;Action;USA;James Cameron;Arnold Schwarzenegger;https://www.imdb.com/title/tt0088247
227;Groundhog Day;1982;Drama;India;Richard Attenborough;Ben Kingsley;https://www.imdb.com/title/tt0083987
228;The Wizard of Oz;1955;Thriller;France;Henri-Georges Clouzot;Simone Signoret;https://www.imdb.com/title/tt0046911
229;Jaws;1995;Drama;France;Mathieu Kassovitz;Vincent Cassel;https://www.imdb.com/title/tt0113247
230;Le notti di Cabiria;1993;Comedy;USA;Harold Ramis;Bill Murray;https://www.imdb.com/title/tt0107048
231;The Help;1939;Fantasy;USA;Victor Fleming;Judy Garland;https://www.imdb.com/title/tt0032138
232;Faa yeung nin wa;1975;Drama;USA;Steven Spielberg;Roy Scheider;https://www.imdb.com/title/tt0073195
233;Mandariinid;1957;Drama;Italy;Federico Fellini;Giulietta Masina;https://www.imdb.com/title/tt0050783
234;Before Sunset;2011;Drama;India;Tate Taylor;Viola Davis;https://www.imdb.com/title/tt1454029
235;Paper Moon;2000;Romance;Hong Kong;Kar-Wai Wong;Tony Leung Chiu-wai,;https://www.imdb.com/title/tt0118694
236;Ah-ga-ssi;2013;Drama;Georgia;Zaza Urushadze;Lembit Ulfsak;https://www.imdb.com/title/tt2991224
237;Paris, Texas;2004;Romance;USA;Richard Linklater;Ethan Hawke;https://www.imdb.com/title/tt0381681
238;The Best Years of Our Lives;1973;Drama;USA;Peter Bogdanovich;Ryan O'Neal;https://www.imdb.com/title/tt0070510
239;Tenkû no shiro Rapyuta;2016;Romance;South Korea;Chan-wook Park;Kim Min-hee;https://www.imdb.com/title/tt4016934
240;Pirates of the Caribbean: The Curse of the Black Pearl;1984;Drama;West Germany;Wim Wenders;Harry Dean Stanton;https://www.imdb.com/title/tt0087884
241;Blade Runner 2049;1946;Romance;USA;William Wyler;Myrna Loy;https://www.imdb.com/title/tt0036868
242;La La Land;1986;Drama;Japan;Hayao Miyazaki;Mayumi Tanaka;https://www.imdb.com/title/tt0092067
243;Guardians of the Galaxy;2003;Adventure;USA;Gore Verbinski;Johnny Depp;https://www.imdb.com/title/tt0325980
244;Fanny och Alexander;2017;Drama;Canada;Denis Villeneuve;Ryan Gosling;https://www.imdb.com/title/tt1856101
245;Tsubaki Sanjûrô;2016;Comedy;Hong Kong;Damien Chazelle;Ryan Gosling;https://www.imdb.com/title/tt3783958
246;Gangs of Wasseypur;2014;Adventure;USA;James Gunn;Chris Pratt;https://www.imdb.com/title/tt2015381
247;Drishyam ;1982;Drama;Sweden;Ingmar Bergman;Bertil Guve;https://www.imdb.com/title/tt0083922
248;Tsubaki Sanjûrô;1962;Drama;Japan;Akira Kurosawa;Toshirô Mifune;https://www.imdb.com/title/tt0056443
249;Gangs of Wasseypur;2012;Comedy;India;Anurag Kashyap;Manoj Bajpayee;https://www.imdb.com/title/tt1954470
250;Drishyam ;2015;Drama;India;Nishikant Kamat;Ajay Devgn;https://www.imdb.com/title/tt4430212
